Date,Price,Open,High,Low,Change %
2024-09-26,2675.57,2656.52,2685.61,2655.14,0.71
2024-09-25,2656.82,2655.9,2670.6,2649.84,0.0
2024-09-24,2656.7,2628.92,2664.47,2622.58,1.08
2024-09-23,2628.4,2621.81,2635.54,2613.6,0.25
2024-09-20,2621.96,2587.5,2625.79,2584.81,1.37
2024-09-19,2586.48,2559.07,2594.89,2551.26,1.07
2024-09-18,2559.16,2571.73,2600.21,2546.98,-0.4
2024-09-17,2569.52,2582.46,2587.01,2560.84,-0.51
2024-09-16,2582.58,2578.06,2589.78,2575.4,0.24
2024-09-13,2576.5,2556.52,2586.18,2556.52,0.69
2024-09-12,2558.75,2512.02,2560.21,2511.02,1.88
2024-09-11,2511.44,2515.7,2529.4,2501.01,-0.19
2024-09-10,2516.12,2506.84,2518.57,2500.16,0.43
2024-09-09,2505.25,2497.32,2507.42,2485.6,0.33
2024-09-06,2497.03,2516.9,2529.3,2485.15,-0.77
2024-09-05,2516.32,2495.5,2523.54,2493.76,0.86
2024-09-04,2494.84,2492.94,2500.2,2471.95,0.08
2024-09-03,2492.76,2500.5,2506.44,2473.25,-0.26
2024-09-02,2499.29,2502.74,2507.5,2490.14,-0.15
2024-08-30,2503.03,2520.89,2527.07,2494.36,-0.72
2024-08-29,2521.18,2504.65,2528.77,2503.65,0.76
2024-08-28,2502.25,2522.74,2529.15,2493.66,-0.88
2024-08-27,2524.57,2518.3,2526.27,2503.41,0.31
2024-08-26,2516.89,2511.43,2527.76,2508.71,0.19
2024-08-23,2512.07,2482.2,2518.45,2481.2,1.16
2024-08-22,2483.29,2512.5,2514.82,2470.86,-1.14
2024-08-21,2511.95,2512.82,2520.09,2494.15,-0.07
2024-08-20,2513.74,2501.55,2532.05,2497.33,0.39
2024-08-19,2503.92,2508.4,2510.45,2485.83,-0.13
2024-08-16,2507.28,2456.57,2509.89,2450.76,2.08
2024-08-15,2456.1,2448.15,2470.25,2432.19,0.35
2024-08-14,2447.64,2467.4,2478.49,2438.12,-0.71
2024-08-13,2465.03,2472.64,2477.02,2458.5,-0.29
2024-08-12,2472.25,2431.21,2473.48,2423.84,1.7
2024-08-09,2430.93,2427.29,2437.15,2416.93,0.17
2024-08-08,2426.75,2382.43,2427.8,2380.7,1.9
2024-08-07,2381.53,2389.67,2407.05,2379.05,-0.33
2024-08-06,2389.37,2410.01,2418.35,2381.79,-0.76
2024-08-05,2407.65,2443.27,2458.8,2364.4,-1.46
2024-08-02,2443.29,2445.16,2477.72,2410.83,-0.09
2024-08-01,2445.42,2448.1,2462.4,2430.25,-0.11
2024-07-31,2448.1,2410.09,2451.0,2403.86,1.65
2024-07-30,2408.43,2383.66,2413.0,2376.51,1.04
2024-07-29,2383.54,2387.2,2403.23,2369.77,-0.09
2024-07-26,2385.57,2364.3,2390.82,2355.89,0.89
2024-07-25,2364.5,2398.49,2401.32,2353.19,-1.38
2024-07-24,2397.59,2408.94,2432.05,2396.5,-0.48
2024-07-23,2409.21,2396.8,2412.15,2388.26,0.48
2024-07-22,2397.65,2400.41,2412.32,2384.0,-0.13
2024-07-19,2400.79,2445.34,2446.29,2393.92,-1.81
2024-07-18,2444.97,2460.13,2475.02,2440.41,-0.55
2024-07-17,2458.38,2476.22,2483.78,2451.6,-0.41
2024-07-16,2468.57,2424.8,2469.91,2423.54,1.92
2024-07-15,2422.07,2409.5,2439.74,2401.35,0.45
2024-07-12,2411.27,2416.47,2418.37,2391.52,-0.15
2024-07-11,2414.78,2371.58,2424.62,2370.83,1.84
2024-07-10,2371.07,2363.8,2386.75,2362.73,0.32
2024-07-09,2363.58,2358.6,2371.52,2349.59,0.2
2024-07-08,2358.8,2391.77,2391.85,2351.16,-1.37
2024-07-05,2391.46,2358.01,2393.04,2354.03,1.5
2024-07-04,2356.12,2353.7,2362.64,2350.76,0.0
2024-07-03,2356.06,2328.0,2365.06,2326.93,1.15
2024-07-02,2329.28,2332.05,2336.9,2319.24,-0.1
2024-07-01,2331.7,2326.46,2338.72,2318.55,0.26
2024-06-28,2325.71,2327.75,2339.79,2319.15,-0.07
2024-06-27,2327.45,2299.8,2331.0,2296.5,1.29
2024-06-26,2297.91,2320.0,2323.95,2293.7,-0.91
2024-06-25,2319.01,2333.25,2337.26,2315.56,-0.6
2024-06-24,2332.93,2321.6,2335.02,2317.37,0.54
2024-06-21,2320.34,2360.3,2368.85,2316.76,-1.66
2024-06-20,2359.63,2329.15,2365.52,2327.3,1.38
2024-06-19,2327.48,2329.79,2335.1,2323.84,-0.04
2024-06-18,2328.33,2319.38,2333.25,2306.63,0.41
2024-06-17,2318.87,2332.2,2333.48,2310.02,-0.59
2024-06-14,2332.52,2302.52,2336.87,2301.35,1.27
2024-06-13,2303.19,2325.7,2326.7,2295.68,-0.83
2024-06-12,2322.55,2315.53,2341.7,2310.8,0.27
2024-06-11,2316.27,2311.0,2320.17,2297.69,0.25
2024-06-10,2310.6,2296.0,2313.87,2287.31,0.78
2024-06-07,2292.71,2376.5,2387.85,2286.77,-3.49
2024-06-06,2375.61,2355.16,2378.57,2353.6,0.88
2024-06-05,2354.78,2328.0,2358.07,2325.88,1.16
2024-06-04,2327.68,2349.0,2351.76,2315.53,-0.96
2024-06-03,2350.35,2329.61,2354.82,2314.76,1.0
2024-05-31,2326.97,2345.07,2353.24,2323.96,-0.68
2024-05-30,2343.0,2339.67,2351.83,2322.72,0.18
2024-05-29,2338.77,2361.0,2362.86,2334.75,-0.94
2024-05-28,2360.95,2352.29,2364.12,2340.17,0.43
2024-05-27,2350.74,2334.5,2358.56,2332.36,0.73
2024-05-24,2333.76,2328.4,2347.54,2325.4,0.23
2024-05-23,2328.37,2378.6,2383.86,2327.0,-2.1
2024-05-22,2378.25,2423.75,2426.64,2374.98,-1.79
2024-05-21,2421.64,2426.84,2434.0,2406.32,-0.14
2024-05-20,2425.12,2415.02,2450.13,2407.34,0.42
2024-05-17,2414.89,2376.81,2422.87,2373.96,1.62
2024-05-16,2376.44,2386.42,2397.44,2371.01,-0.4
2024-05-15,2386.04,2358.2,2390.36,2351.82,1.19
2024-05-14,2357.97,2338.2,2359.83,2334.55,0.94
2024-05-13,2336.05,2362.7,2364.94,2332.34,-1.02
2024-05-10,2360.14,2346.26,2378.45,2345.25,0.61
2024-05-09,2345.88,2309.04,2347.59,2306.67,1.61
2024-05-08,2308.65,2314.7,2321.56,2303.85,-0.22
2024-05-07,2313.79,2322.5,2330.06,2310.06,-0.42
2024-05-06,2323.57,2302.5,2331.99,2291.79,0.96
2024-05-03,2301.56,2303.2,2321.64,2277.47,-0.08
2024-05-02,2303.29,2319.89,2326.57,2285.58,-0.63
2024-05-01,2317.9,2285.91,2328.4,2281.66,1.41
2024-04-30,2285.57,2335.1,2336.54,2284.94,-2.09
2024-04-29,2334.44,2337.5,2346.85,2320.08,-0.14
2024-04-26,2337.72,2332.16,2352.62,2326.3,0.25
2024-04-25,2331.78,2316.2,2344.86,2305.28,0.69
2024-04-24,2315.82,2322.19,2337.16,2311.9,-0.26
2024-04-23,2321.81,2326.62,2334.48,2291.4,-0.19
2024-04-22,2326.29,2388.2,2388.72,2325.29,-2.68
2024-04-19,2390.45,2378.6,2417.79,2372.96,0.51
2024-04-18,2378.25,2360.74,2392.84,2360.7,0.74
2024-04-17,2360.81,2383.2,2395.63,2354.84,-0.92
2024-04-16,2382.83,2382.86,2398.34,2362.95,0.01
2024-04-15,2382.51,2343.86,2387.59,2324.59,1.67
2024-04-12,2343.43,2373.59,2431.53,2333.9,-1.26
2024-04-11,2373.24,2333.17,2377.8,2325.84,1.73
2024-04-10,2332.79,2352.91,2360.15,2319.54,-0.84
2024-04-09,2352.58,2339.24,2365.34,2336.94,0.59
2024-04-08,2338.89,2322.0,2354.09,2302.86,0.4
2024-04-05,2329.5,2289.88,2330.34,2267.85,1.75
2024-04-04,2289.43,2299.62,2305.31,2280.15,-0.42
2024-04-03,2299.17,2279.57,2301.22,2265.5,0.84
2024-04-02,2280.1,2250.88,2281.17,2246.79,1.32
2024-04-01,2250.36,2239.59,2265.86,2228.54,0.81
2024-03-28,2232.38,2194.19,2235.9,2187.33,1.75
2024-03-27,2194.02,2179.03,2197.71,2173.59,0.71
2024-03-26,2178.58,2171.82,2200.15,2167.75,0.33
2024-03-25,2171.45,2165.79,2181.3,2163.5,0.34
2024-03-22,2164.15,2181.5,2186.25,2157.15,-0.76
2024-03-21,2180.81,2186.0,2222.9,2166.5,-0.24
2024-03-20,2185.96,2158.29,2188.9,2149.6,1.33
2024-03-19,2157.23,2160.7,2162.93,2146.9,-0.13
2024-03-18,2159.99,2156.0,2163.64,2146.05,0.21
2024-03-15,2155.54,2162.4,2173.25,2155.19,-0.25
2024-03-14,2161.01,2174.29,2177.1,2152.86,-0.62
2024-03-13,2174.4,2158.25,2179.91,2155.54,0.76
2024-03-12,2157.99,2183.0,2184.86,2150.59,-1.12
2024-03-11,2182.47,2177.71,2189.04,2174.8,0.23
2024-03-08,2177.51,2159.4,2195.2,2154.08,0.85
2024-03-07,2159.16,2148.54,2164.54,2144.29,0.51
2024-03-06,2148.29,2127.95,2152.29,2123.65,0.98
2024-03-05,2127.55,2115.15,2142.15,2110.52,0.59
2024-03-04,2114.99,2082.09,2119.95,2079.45,1.52
2024-03-01,2083.39,2043.44,2088.4,2038.55,1.96
2024-02-29,2043.24,2034.92,2050.79,2027.75,0.42
2024-02-28,2034.62,2030.05,2038.3,2024.56,0.25
2024-02-27,2029.64,2030.99,2039.99,2028.78,-0.05
2024-02-26,2030.66,2034.49,2037.59,2025.1,-0.25
2024-02-23,2035.72,2024.49,2041.43,2015.55,0.57
2024-02-22,2024.11,2025.24,2034.84,2019.7,-0.04
2024-02-21,2024.99,2023.8,2032.22,2020.19,0.07
2024-02-20,2023.53,2017.99,2030.96,2015.02,0.29
2024-02-19,2017.63,2013.16,2023.34,2011.57,0.22
2024-02-16,2013.1,2004.4,2015.25,1995.26,0.45
2024-02-15,2004.09,1992.69,2008.49,1990.25,0.59
2024-02-14,1992.39,1992.55,1996.14,1984.3,0.01
2024-02-13,1992.13,2019.9,2030.05,1990.19,-1.37
2024-02-12,2019.79,2024.53,2028.09,2011.91,-0.22
2024-02-09,2024.16,2033.65,2037.44,2020.3,-0.44
2024-02-08,2033.18,2034.55,2038.94,2019.75,-0.05
2024-02-07,2034.22,2035.9,2044.65,2030.65,-0.06
2024-02-06,2035.46,2024.99,2039.02,2022.55,0.53
2024-02-05,2024.67,2039.91,2042.32,2014.4,-0.68
2024-02-02,2038.59,2055.09,2058.2,2027.45,-0.79
2024-02-01,2054.89,2037.59,2065.42,2029.55,0.87
2024-01-31,2037.19,2036.58,2056.08,2031.0,0.05
2024-01-30,2036.12,2031.97,2048.48,2029.19,0.21
2024-01-29,2031.75,2019.4,2037.75,2017.38,0.66
2024-01-26,2018.34,2019.94,2026.8,2015.97,-0.07
2024-01-25,2019.75,2012.84,2025.27,2010.15,0.36
2024-01-24,2012.59,2028.94,2036.74,2011.28,-0.79
2024-01-23,2028.69,2021.24,2037.92,2019.59,0.38
2024-01-22,2020.99,2029.9,2032.28,2016.74,-0.4
2024-01-19,2029.09,2023.05,2039.49,2020.37,0.32
2024-01-18,2022.67,2006.09,2023.45,2005.43,0.85
2024-01-17,2005.72,2027.9,2033.05,2001.91,-1.08
2024-01-16,2027.59,2054.91,2055.65,2024.29,-1.31
2024-01-15,2054.49,2048.09,2059.25,2045.8,0.28
2024-01-12,2048.72,2028.3,2062.35,2027.99,1.02
2024-01-11,2028.09,2023.74,2039.69,2013.32,0.23
2024-01-10,2023.4,2029.94,2040.44,2020.45,-0.31
2024-01-09,2029.59,2028.4,2042.09,2026.11,0.09
2024-01-08,2027.84,2044.08,2046.71,2016.84,-0.86
2024-01-05,2045.5,2043.69,2064.03,2024.49,0.11
2024-01-04,2043.26,2041.34,2051.4,2036.24,0.12
2024-01-03,2040.78,2059.15,2066.12,2030.68,-0.88
2024-01-02,2058.88,2062.9,2079.02,2056.04,-0.24
2024-01-01,2063.8,2064.24,2074.9,2063.3,0.06
2023-12-29,2062.59,2065.15,2075.15,2057.75,-0.11
2023-12-28,2064.86,2077.34,2088.54,2065.89,-0.59
2023-12-27,2077.16,2066.7,2084.59,2061.0,0.51
2023-12-26,2066.6,2055.73,2068.65,2053.59,0.57
2023-12-25,2054.93,2054.32,2058.36,2053.96,0.1
2023-12-22,2052.98,2045.84,2070.65,2045.65,0.37
2023-12-21,2045.49,2029.44,2046.07,2029.44,0.8
2023-12-20,2029.19,2040.34,2043.94,2029.37,-0.54
2023-12-19,2040.12,2027.3,2047.07,2021.74,0.65
2023-12-18,2027.0,2020.09,2033.71,2015.99,0.44
2023-12-15,2018.19,2035.8,2045.55,2015.68,-0.85
2023-12-14,2035.53,2026.59,2047.98,2024.33,0.45
2023-12-13,2026.39,1979.74,2027.55,1973.09,2.37
2023-12-12,1979.44,1981.59,1996.8,1977.19,-0.09
2023-12-11,1981.3,2003.6,2008.72,1975.95,-1.1
2023-12-08,2003.39,2028.69,2034.19,1994.74,-1.23
2023-12-07,2028.34,2025.3,2039.93,2020.26,0.17
2023-12-06,2024.9,2019.74,2036.3,2017.27,0.27
2023-12-05,2019.42,2030.15,2041.33,2010.02,-0.51
2023-12-04,2029.74,2071.25,2135.9,2020.34,-1.99
2023-12-01,2070.9,2034.49,2075.34,2033.75,1.73
2023-11-30,2035.75,2044.8,2047.59,2031.84,-0.43
2023-11-29,2044.59,2041.24,2052.09,2035.05,0.18
2023-11-28,2040.89,2013.94,2043.0,2011.6,1.35
2023-11-27,2013.64,2002.78,2018.14,2000.67,0.58
2023-11-24,2001.97,1994.06,2003.68,1991.4,0.51
2023-11-23,1991.79,1990.15,1999.19,1989.01,0.1
2023-11-22,1989.72,1998.69,2006.9,1986.89,-0.43
2023-11-21,1998.37,1977.49,2007.52,1977.34,1.07
2023-11-20,1977.19,1980.39,1985.26,1965.2,-0.14
2023-11-17,1980.01,1981.21,1993.94,1978.59,-0.04
2023-11-16,1980.85,1959.44,1988.03,1956.49,1.11
2023-11-15,1959.09,1963.05,1975.59,1955.41,-0.18
2023-11-14,1962.67,1946.19,1970.84,1943.4,0.86
2023-11-13,1945.89,1937.05,1949.27,1931.73,0.47
2023-11-10,1936.79,1958.4,1960.93,1933.18,-1.09
2023-11-09,1958.19,1950.09,1965.69,1944.3,0.43
2023-11-08,1949.79,1968.84,1971.12,1947.48,-0.95
2023-11-07,1968.4,1978.19,1978.75,1956.2,-0.47
2023-11-06,1977.68,1992.3,1993.3,1977.52,-0.73
2023-11-03,1992.27,1985.69,2004.06,1983.26,0.34
