Date,Close/Last,Volume,Open,High,Low
09/10/2024,$179.55,36233800,$177.49,$180.50,$176.79
09/09/2024,$175.40,29037360,$174.53,$175.85,$173.51
09/06/2024,$171.39,41466540,$177.24,$178.38,$171.16
09/05/2024,$177.89,40170530,$175.00,$179.875,$174.995
09/04/2024,$173.33,30309230,$174.48,$175.98,$172.54
09/03/2024,$176.25,37817510,$177.55,$178.26,$175.26
08/30/2024,$178.50,43429360,$172.78,$178.90,$172.60
08/29/2024,$172.12,26407820,$173.22,$174.29,$170.81
08/28/2024,$170.80,29045030,$173.69,$173.69,$168.92
08/27/2024,$173.12,29841980,$174.15,$174.89,$172.25
08/26/2024,$175.50,22366240,$176.70,$177.4682,$174.30
08/23/2024,$177.04,29150090,$177.34,$178.9699,$175.24
08/22/2024,$176.13,32047480,$181.38,$181.47,$175.68
08/21/2024,$180.11,35599120,$179.92,$182.385,$178.8937
08/20/2024,$178.88,26255200,$177.92,$179.01,$177.4308
08/19/2024,$178.22,31129810,$177.64,$178.30,$176.16
08/16/2024,$177.06,31489180,$177.04,$178.34,$176.2601
08/15/2024,$177.59,51698510,$174.86,$177.91,$173.99
08/14/2024,$170.10,28843800,$172.11,$172.28,$168.86
08/13/2024,$170.23,39237920,$167.81,$171.04,$167.10
08/12/2024,$166.80,30072790,$168.14,$168.55,$166.1101
