,Date,Interest Rate,Inflation Rate,Close SP500,CPIAUCSL,Close Russell,Close Oil,Close Gold
0,1954-07-01,0.8,3.2,,,,,
1,1954-08-01,1.22,3.2,,,,,
2,1954-09-01,1.06,3.2,,,,,
3,1954-10-01,0.85,3.2,,,,,
4,1954-11-01,0.83,3.2,,,,,
5,1954-12-01,1.28,3.2,,,,,
6,1955-01-01,1.39,3.2,,,,,
7,1955-02-01,1.29,3.2,,,,,
8,1955-03-01,1.35,3.2,,,,,
9,1955-04-01,1.43,3.2,,,,,
10,1955-05-01,1.43,3.2,,,,,
11,1955-06-01,1.64,3.2,,,,,
12,1955-07-01,1.68,3.2,,,,,
13,1955-08-01,1.96,3.2,,,,,
14,1955-09-01,2.18,3.2,,,,,
15,1955-10-01,2.24,3.2,,,,,
16,1955-11-01,2.35,3.2,,,,,
17,1955-12-01,2.48,3.2,,,,,
18,1956-01-01,2.45,3.2,,,,,
19,1956-02-01,2.5,3.2,,,,,
20,1956-03-01,2.5,3.2,,,,,
21,1956-04-01,2.62,3.2,,,,,
22,1956-05-01,2.75,3.2,,,,,
23,1956-06-01,2.71,3.2,,,,,
24,1956-07-01,2.75,3.2,,,,,
25,1956-08-01,2.73,3.2,,,,,
26,1956-09-01,2.95,3.2,,,,,
27,1956-10-01,2.96,3.2,,,,,
28,1956-11-01,2.88,3.2,,,,,
29,1956-12-01,2.94,3.2,,,,,
30,1957-01-01,2.84,3.2,,,,,
31,1957-02-01,3.0,3.2,,,,,
32,1957-03-01,2.96,3.2,,,,,
33,1957-04-01,3.0,3.2,,,,,
34,1957-05-01,3.0,3.2,,,,,
35,1957-06-01,3.0,3.2,,,,,
36,1957-07-01,2.99,3.2,,,,,
37,1957-08-01,3.24,3.2,,,,,
38,1957-09-01,3.47,3.2,,,,,
39,1957-10-01,3.5,3.2,,,,,
40,1957-11-01,3.28,3.2,,,,,
41,1957-12-01,2.98,3.2,,,,,
42,1958-01-01,2.72,3.2,,,,,
43,1958-02-01,1.67,3.2,,,,,
44,1958-03-01,1.2,2.8,,,,,
45,1958-04-01,1.26,2.4,,,,,
46,1958-05-01,0.63,2.4,,,,,
47,1958-06-01,0.93,2.1,,,,,
48,1958-07-01,0.68,2.4,,,,,
49,1958-08-01,1.53,2.1,,,,,
50,1958-09-01,1.76,1.7,,,,,
51,1958-10-01,1.8,1.7,,,,,
52,1958-11-01,2.27,1.7,,,,,
53,1958-12-01,2.42,1.7,,,,,
54,1959-01-01,2.48,1.7,,,,,
55,1959-02-01,2.43,1.7,,,,,
56,1959-03-01,2.8,1.7,,,,,
57,1959-04-01,2.96,1.7,,,,,
58,1959-05-01,2.9,2.0,,,,,
59,1959-06-01,3.39,2.0,,,,,
60,1959-07-01,3.47,2.0,,,,,
61,1959-08-01,3.5,2.0,,,,,
62,1959-09-01,3.76,2.4,,,,,
63,1959-10-01,3.98,2.7,,,,,
64,1959-11-01,4.0,2.0,,,,,
65,1959-12-01,3.99,2.0,,,,,
66,1960-01-01,3.99,2.0,,,,,
67,1960-02-01,3.97,2.3,,,,,
68,1960-03-01,3.84,2.0,,,,,
69,1960-04-01,3.92,2.0,,,,,
70,1960-05-01,3.85,1.7,,,,,
71,1960-06-01,3.32,1.7,,,,,
72,1960-07-01,3.23,1.3,,,,,
73,1960-08-01,2.98,1.3,,,,,
74,1960-09-01,2.6,1.0,,,,,
75,1960-10-01,2.47,1.0,,,,,
76,1960-11-01,2.44,1.0,,,,,
77,1960-12-01,1.98,1.0,,,,,
78,1961-01-01,1.45,1.0,,,,,
79,1961-02-01,2.54,0.7,,,,,
80,1961-03-01,2.02,0.7,,,,,
81,1961-04-01,1.49,1.0,,,,,
82,1961-05-01,1.98,1.0,,,,,
